id,prompt,function
96,List the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
97,Determine the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
98,What is the count of walls with a fire rating of 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
99,How many walls in the building have a fire rating of 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
100,Calculate the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
101,How many walls have the property of being fire-rated for 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
102,Find the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
103,Get the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
104,Count all walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
105,How many walls have a fire rating of 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
106,Count the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
107,What is the total number of walls with a fire rating of 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
108,Find out how many walls have a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
109,Get the total count of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
110,How many walls are there with a fire rating of 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
111,List the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
112,Determine the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
113,What is the count of walls with a fire rating of 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
114,How many walls in the building have a fire rating of 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
115,Calculate the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
116,How many walls have the property of being fire-rated for 3 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
117,Find the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
118,Get the number of walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
119,Count all walls with a fire rating of 3 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 3])"
120,How many walls have a fire rating of 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
121,Count the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
122,What is the total number of walls with a fire rating of 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
123,Find out how many walls have a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
124,Get the total count of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
125,How many walls are there with a fire rating of 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
126,List the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
127,Determine the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
128,What is the count of walls with a fire rating of 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
129,How many walls in the building have a fire rating of 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
130,Calculate the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
131,How many walls have the property of being fire-rated for 4 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
132,Find the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
133,Get the number of walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
134,Count all walls with a fire rating of 4 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 4])"
135,How many walls have a fire rating of 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
136,Count the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
137,What is the total number of walls with a fire rating of 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
138,Find out how many walls have a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
139,Get the total count of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
140,How many walls are there with a fire rating of 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
141,List the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
142,Determine the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
143,What is the count of walls with a fire rating of 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
144,How many walls in the building have a fire rating of 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
145,Calculate the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
146,How many walls have the property of being fire-rated for 5 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
147,Find the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
148,Get the number of walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
149,Count all walls with a fire rating of 5 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 5])"
225,How many doors have accesscontrol properties defined?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
226,Count the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
227,What is the total number of doors with accesscontrol properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
228,Find out how many doors have accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
229,Get the total count of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
230,How many doors are there with accesscontrol properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
231,List the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
232,Determine the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
233,What is the count of doors with accesscontrol properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
234,How many doors in the building have accesscontrol properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
235,Calculate the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
236,How many doors have defined accesscontrol properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
237,Find the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
238,Get the number of doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
239,Count all doors with accesscontrol properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AccessControl')])"
240,How many doors have firerating properties defined?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
241,Count the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
242,What is the total number of doors with firerating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
243,Find out how many doors have firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
244,Get the total count of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
245,How many doors are there with firerating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
246,List the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
247,Determine the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
248,What is the count of doors with firerating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
249,How many doors in the building have firerating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
250,Calculate the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
251,How many doors have defined firerating properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
252,Find the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
253,Get the number of doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
254,Count all doors with firerating properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'FireRating')])"
255,How many doors have acousticinsulation properties defined?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
256,Count the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
257,What is the total number of doors with acousticinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
258,Find out how many doors have acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
259,Get the total count of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
260,How many doors are there with acousticinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
261,List the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
262,Determine the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
263,What is the count of doors with acousticinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
264,How many doors in the building have acousticinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
265,Calculate the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
266,How many doors have defined acousticinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
267,Find the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
268,Get the number of doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
269,Count all doors with acousticinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AcousticInsulation')])"
270,How many doors have thermalinsulation properties defined?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
271,Count the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
272,What is the total number of doors with thermalinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
273,Find out how many doors have thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
274,Get the total count of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
275,How many doors are there with thermalinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
276,List the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
277,Determine the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
278,What is the count of doors with thermalinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
279,How many doors in the building have thermalinsulation properties?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
280,Calculate the number of doors with thermalinsulation properties.,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'ThermalInsulation')])"
